,name,diff_num,hunk_num,func_num,line_num_total,line_num_net,line_num_del,line_num_add,char_num_total,char_num_net,char_num_del,char_num_add,mem_num_total,mem_num_net,mem_num_del,mem_num_add,if_num_total,if_num_net,if_num_del,if_num_add,jump_num_total,jump_num_net,jump_num_del,jump_num_add,loop_num_total,loop_num_net,loop_num_del,loop_num_add,ari_num_total,ari_num_net,ari_num_del,ari_num_add,rel_num_total,rel_num_net,rel_num_del,rel_num_add,log_num_total,log_num_net,log_num_del,log_num_add,bit_num_total,bit_num_net,bit_num_del,bit_num_add,call_num_total,call_num_net,call_num_del,call_num_add,var_num_total,var_num_net,var_num_del,var_num_add,global_sim,global_norm_sim,dir_num_total,dir_num_net,dir_num_del,dir_num_add,cap_num,race_num,not_zero,preprocess
0,.//security_patch/realData\CWE_113_Improper_Neutralization_of_CRLF_Sequences_in_HTTP_Headers_('HTTP_Response_Splitting')\CVE-2018-18837-92327c9ec211bd1616315abcb255861b130b97ca.txt,2,3,0,15,15,0,15,395,395,0,395,0,0,0,0,5,5,0,5,1,1,0,1,1,1,0,1,13,13,0,13,3,3,0,3,7,7,0,7,2,2,0,2,4,4,0,4,21,21,0,21,395,166,1,1,0,1,0,0,5,0
1,.//security_patch/realData\CWE_118_Incorrect_Access_of_Indexable_Resource_('Range_Error')\CVE-2017-5884-ea0386933214c9178aaea9f2f85049ea3fa3e14a.txt,1,5,1,31,7,12,19,984,250,367,617,0,0,0,0,7,3,2,5,5,3,1,4,0,0,0,0,38,6,16,22,14,0,7,7,11,3,4,7,0,0,0,0,5,2,3,5,26,9,17,26,250,88,0,0,0,0,0,0,3,0
2,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2006-3635-4dcc29e1574d88f4465ba865ed82800032f76418.txt,6,9,2,72,62,5,67,1708,1146,281,1427,0,0,0,0,9,5,2,7,0,0,0,0,1,1,0,1,41,29,6,35,3,3,0,3,2,2,0,2,8,4,2,6,5,5,0,5,73,73,0,73,1150,464,0,0,0,0,0,1,0,1
3,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2007-1592-d35690beda1429544d46c8eb34b2e3a8c37ab299.txt,1,1,0,1,1,0,1,25,25,0,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,25,8,0,0,0,0,0,0,0,0
4,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2007-5199-5bf703700ee4a5d6eae20da07cb7a29369667aef.txt,1,1,1,2,0,1,1,72,2,35,37,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,1,3,4,2,2,0,0,0,0,0,0,0,0
5,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2007-6151-eafe1aa37e6ec2d56f14732b5240c4dd09f0613a.txt,1,4,1,5,3,1,4,168,126,21,147,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,6,4,2,6,126,48,0,0,0,0,0,0,0,0
6,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2007-6761-0b29669c065f60501e7289e1950fa2a618962358.txt,1,3,2,6,0,3,3,368,0,184,184,3,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,18,18,4,0,2,2,0,0,0,0,0,0,0,0,3,1,2,2,16,1,15,15,3,0,0,0,0,0,0,0,0,0
7,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2008-1673-ddb2c43594f22843e9f3153da151deaba1a834c5.txt,2,6,1,12,12,0,12,250,250,0,250,2,2,0,2,10,10,0,10,6,6,0,6,0,0,0,0,12,12,0,12,12,12,0,12,6,6,0,6,0,0,0,0,0,0,0,0,11,11,0,11,250,116,0,0,0,0,0,0,2,0
8,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2008-3911-27df6f25ff218072e0e879a96beeb398a79cdbc8.txt,1,2,0,14,-8,11,3,304,-78,191,113,2,0,1,1,4,-4,4,0,5,-3,4,1,0,0,0,0,6,-2,4,2,0,0,0,0,1,-1,1,0,0,0,0,0,4,1,3,2,11,3,8,6,117,34,0,0,0,0,0,0,-1,0
9,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2008-3915-91b80969ba466ba4b915a4a1d03add8c297add3f.txt,1,1,1,2,0,1,1,75,5,35,40,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,5,0,0,0,0,0,0,0,0,0
10,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2008-4654-26d92b87bba99b5ea2e17b7eaa39c462d65e9133.txt,1,3,1,4,2,1,3,164,74,45,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,4,4,2,1,3,0,0,0,0,0,0,0,0,1,0,1,1,6,1,5,6,74,28,0,0,0,0,0,0,0,0
11,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-0065-9fcb95a105758b81ef0131cd18e2db5149f13e95.txt,1,4,0,10,10,0,10,257,257,0,257,0,0,0,0,2,2,0,2,2,2,0,2,1,1,0,1,6,6,0,6,6,6,0,6,1,1,0,1,0,0,0,0,2,2,0,2,9,9,0,9,257,72,0,0,0,0,0,0,0,0
12,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-0386-bdc20b9baf13564d9a061343416395f8f9a92b53.txt,1,4,0,8,0,4,4,277,109,84,193,0,0,0,0,6,4,1,5,0,0,0,0,6,0,3,3,18,4,7,11,16,8,4,12,10,4,3,7,0,0,0,0,0,0,0,0,10,2,8,10,109,66,0,0,0,0,0,0,0,0
13,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-0387-bdc20b9baf13564d9a061343416395f8f9a92b53.txt,1,4,0,8,0,4,4,277,109,84,193,0,0,0,0,6,4,1,5,0,0,0,0,6,0,3,3,18,4,7,11,16,8,4,12,10,4,3,7,0,0,0,0,0,0,0,0,10,2,8,10,109,66,0,0,0,0,0,0,0,0
14,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-0397-bdc20b9baf13564d9a061343416395f8f9a92b53.txt,1,4,0,8,0,4,4,277,109,84,193,0,0,0,0,6,4,1,5,0,0,0,0,6,0,3,3,18,4,7,11,16,8,4,12,10,4,3,7,0,0,0,0,0,0,0,0,10,2,8,10,109,66,0,0,0,0,0,0,0,0
15,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-1186-662c3110803bd8c1aedacc36788e6fd028944314.txt,1,1,1,2,0,1,1,34,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,4,1,0,0,0,0,0,0,0,0,0
16,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-1298-bbf31bf18d34caa87dd01f08bf713635593697f2.txt,1,1,0,2,0,1,1,97,-9,53,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,1,2,2,9,4,0,0,0,0,0,0,0,0
17,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-1389-fdd7b4c3302c93f6833e338903ea77245eb510b4.txt,1,6,4,11,-1,6,5,411,39,186,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,4,3,3,0,3,0,0,0,0,0,0,0,0,2,0,2,2,6,2,4,5,100,21,0,0,0,0,0,0,0,-1
18,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-1439-b363b3304bcf68c4541683b2eff70b29f0446a5b.txt,1,1,0,2,0,1,1,62,4,29,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,1,3,4,5,6,0,0,0,0,0,0,0,0
19,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-1633-27b87fe52baba0a55e9723030e76fce94fabcea4.txt,1,7,0,27,1,13,14,581,-89,335,246,0,0,0,0,9,1,4,5,0,0,0,0,0,0,0,0,29,-3,16,13,10,-2,6,4,4,-4,4,0,2,0,1,1,2,0,2,1,44,3,41,16,243,43,0,0,0,0,0,0,0,0
20,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-1897-3c8a9c63d5fd738c261bd0ceece04d9c8357ca13.txt,1,2,1,3,1,1,2,47,3,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,2,0,0,0,0,0,0,0,0
21,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-2406-6352a29305373ae6196491e6d4669f301e26492e.txt,1,1,0,6,6,0,6,150,150,0,150,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,3,3,0,3,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,2,17,17,0,17,150,44,0,0,0,0,0,0,0,0
22,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-2407-f151cd2c54ddc7714e2f740681350476cda03a28.txt,1,1,0,7,7,0,7,200,200,0,200,2,2,0,2,1,1,0,1,1,1,0,1,0,0,0,0,4,4,0,4,2,2,0,2,0,0,0,0,0,0,0,0,1,1,0,1,16,16,0,16,200,44,0,0,0,0,0,0,0,0
23,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-2414-489f9671e71cc44a97b23111b3126ac8a1e21a59.txt,1,10,0,42,20,11,31,1235,471,382,853,0,0,0,0,9,1,4,5,10,2,4,6,0,0,0,0,12,4,4,8,10,2,4,6,3,1,1,2,1,1,0,1,4,2,2,4,24,14,10,24,519,127,0,0,0,0,0,0,-2,0
24,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-2484-e60a9038b13b5eb805a76755efc5c6d5e080180f.txt,1,1,0,2,0,1,1,128,20,54,74,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,4,0,4,4,20,6,0,0,0,0,0,0,0,0
25,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-2692-e694958388c50148389b0e9b9e9e8945cf0f1b98.txt,1,1,0,2,0,1,1,106,-4,55,51,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,-2,2,0,2,-2,2,0,0,0,0,0,0,0,0,0,2,1,1,1,6,0,6,5,10,8,0,0,0,0,0,0,0,0
26,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-2695-1d9959734a1949ea4f2427bd2d8b21ede6b2441c.txt,1,2,1,20,0,10,10,572,0,286,286,0,0,0,0,4,0,2,2,4,0,2,2,0,0,0,0,14,0,7,7,4,0,2,2,4,0,2,2,2,0,1,1,3,0,3,3,15,0,15,15,0,0,0,0,0,0,0,0,0,0
27,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-2695-788084aba2ab7348257597496befcbccabdc98a3.txt,8,13,1,65,33,16,49,1688,806,441,1247,2,0,1,1,13,5,4,9,6,2,2,4,0,0,0,0,33,19,7,26,21,13,4,17,7,3,2,5,6,0,3,3,7,5,2,7,28,18,10,27,831,183,0,0,0,0,0,0,0,3
28,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-2695-8cf948e744e0218af604c32edecde10006dc8e9e.txt,1,2,0,6,4,1,5,118,74,22,96,0,0,0,0,3,1,1,2,1,1,0,1,0,0,0,0,1,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,8,6,2,8,74,28,0,0,0,0,0,0,0,0
29,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-2695-9c0d90103c7e0eb6e638e5b649e9f6d8d9c1b4b3.txt,3,4,1,28,6,11,17,755,201,277,478,0,0,0,0,6,-2,4,2,6,-2,4,2,0,0,0,0,9,3,3,6,5,1,2,3,4,-4,4,0,1,1,0,1,4,2,2,3,14,4,10,13,263,48,0,0,0,0,0,0,-2,0
30,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-2695-ab5a91a8364c3d6fc617abc47cc81d162c01d90a.txt,1,1,0,2,0,1,1,71,27,22,49,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,2,0,2,0,0,0,0,1,1,0,1,3,1,2,3,27,14,0,0,0,0,0,0,1,0
31,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-2767-70d715fd0597f18528f389b5ac59102263067744.txt,1,2,2,6,6,0,6,139,139,0,139,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,10,10,0,10,139,26,0,0,0,0,0,2,0,0
